c,H,oos_r2_median,oos_r2_mean,oos_r2_std,n_obs,lambda_median
0.6,180.0,0.05213483302243699,0.10945033154820798,0.14380964136101576,196,55.95252100460593
0.7,5.0,0.029541209739628316,0.05122718832200981,0.06411012311020327,196,80.47169130660473
0.7,10.0,0.04532868957052494,0.08303951924676421,0.09648611151322198,196,85.52123568787454
0.7,15.0,0.053527144063926335,0.09958751354203646,0.11442581938916677,196,85.12293310104002
0.7,30.0,0.06092549700902106,0.11731033403877619,0.13711626732397433,196,84.55364022392634
0.7,45.0,0.06242516684854543,0.12116031233039089,0.14536161176619808,196,84.17608423820377
0.7,60.0,0.06217624328606325,0.12181018449924005,0.1496944901829823,196,84.71487221614564
0.7,90.0,0.061347458407938704,0.12135428854848347,0.15419012191279569,196,85.39135261334437
0.7,120.0,0.059296436816990705,0.12044888243591445,0.1562632439873551,196,83.41593428601692
0.7,180.0,0.056238768140666584,0.11845833013365295,0.15759565215836072,196,81.4788179513834
0.8,5.0,0.0272532216643947,0.04862503480295571,0.06328491313235984,196,129.2882085376359
0.8,10.0,0.04675570564734183,0.0802240032935002,0.09627387160447767,196,127.93468902122126
0.8,15.0,0.053984171157255956,0.09747110335241446,0.11548936855689264,196,124.47676341696288
0.8,30.0,0.06403705324423137,0.1173166214885881,0.14133245892538954,196,121.54901105990766
0.8,45.0,0.06612311787436964,0.12258051364777708,0.15145329274707572,196,116.6001666972299
0.8,60.0,0.06527742946155052,0.12409008949542609,0.1568063909752636,196,115.8911702179997
0.8,90.0,0.06342119830034437,0.12441304377794776,0.16227330391791855,196,114.29993406703191
0.8,120.0,0.06276760832061307,0.1238041203735557,0.16484233595614067,196,111.59662581056963
0.8,180.0,0.06050003297700152,0.122082439442435,0.1668302611748102,196,107.41376467876952
0.9,5.0,0.02590001265122882,0.044162322024798736,0.06306630750689428,196,197.78536426546987
0.9,10.0,0.04416207067679512,0.07461347860763547,0.09583053749868001,196,184.63267449723196
0.9,15.0,0.0544206751457012,0.09197092401143328,0.11549377233134378,196,179.93588611715154
0.9,30.0,0.06291979329609321,0.11311376607371648,0.1434195931787989,196,169.54485996769057
0.9,45.0,0.06804256573010525,0.1194270281953957,0.1549807473715424,196,160.72474837755112
