train_month,val_month,stock,lambda,alpha,is_r2,oos_r2,c,H
6,8,AES,7.858804804433337,0.0,0.18100393511575963,0.12900506542802237,0.3,5.0
6,8,AFL,6.731862710855675,0.0,0.12671207983047061,0.08075065327078268,0.3,5.0
6,8,AIG,7.377039615874179,0.0,0.11555369897356083,0.07953042338144034,0.3,5.0
6,8,AMAT,6.847733893779826,0.0,0.1004186082167049,0.08464084282354112,0.3,5.0
6,8,AMD,10.11088622285218,0.0,0.16446136317410898,0.16494622101570555,0.3,5.0
6,8,AMGN,7.345569581070544,0.0,0.08645242142436338,0.0546839727435976,0.3,5.0
6,8,AMZN,10.155997629746917,0.0,0.14572662535388947,0.12973728190329237,0.3,5.0
6,8,AOS,6.385422741025806,0.0,0.10702340200068416,0.08863256320832769,0.3,5.0
6,8,APA,7.416806473604152,0.0,0.10510028309346675,0.07255333926151764,0.3,5.0
6,8,APC,6.018745938805584,0.0,0.08459416571548262,0.04458874422725112,0.3,5.0
7,9,AAL,8.705385556262664,0.0,0.14079232531856012,0.13191273202958964,0.3,5.0
7,9,AAPL,9.928497316645895,0.0,0.08346021904690615,0.1140982748562378,0.3,5.0
7,9,ABBV,7.119853970735923,0.0,0.07988310264809517,0.08955597713799024,0.3,5.0
7,9,ABT,6.480576349526851,0.0,0.08191534842086368,0.08254530970672913,0.3,5.0
7,9,ADBE,7.5550620258214645,0.0,0.08490166664251064,0.08128219642730672,0.3,5.0
7,9,ADI,6.396615623185145,0.0,0.06241520234243614,0.06458954038880937,0.3,5.0
7,9,ADM,6.962334500797782,0.0,0.11215489034438741,0.09472924375802338,0.3,5.0
7,9,ADP,7.014286662743438,0.0,0.08720118739317717,0.09058352805040892,0.3,5.0
7,9,ADSK,7.279035204277651,0.0,0.0850871316349977,0.08962931440625332,0.3,5.0
7,9,AEP,6.853242478389134,0.0,0.08436488512782836,0.06657267280578616,0.3,5.0
7,9,AES,7.342840125817525,0.0,0.1543674156290884,0.16913425673201732,0.3,5.0
7,9,AFL,8.290990321917958,0.0,0.12455102327949785,0.10765740431901705,0.3,5.0
7,9,AIG,7.226075008651857,0.0,0.12176027999917272,0.09202960707920693,0.3,5.0
7,9,AMAT,6.72791377121209,0.0,0.09072645132934987,0.08212713771480695,0.3,5.0
7,9,AMD,9.464765739945786,0.0,0.15637530396900934,0.1718669899231866,0.3,5.0
7,9,AMGN,8.018994932989283,0.0,0.09385393478338788,0.08807795619924419,0.3,5.0
7,9,AMZN,11.299188674180035,0.0,0.15734675549150445,0.1505667833926304,0.3,5.0
7,9,AOS,7.1681840583575,0.0,0.08957117123258884,0.10327317734949792,0.3,5.0
7,9,APA,6.854200744563846,0.0,0.11589832073744766,0.056238397205719215,0.3,5.0
8,10,AAL,8.558340922211105,0.0,0.12764448837911402,0.13003958961194595,0.3,5.0
8,10,AAPL,13.691026908109059,0.0,0.12615542873432395,0.16217309912549205,0.3,5.0
8,10,ABBV,8.140335901721462,0.0,0.07017150072470935,0.07823188279775162,0.3,5.0
8,10,ABT,8.039836659780146,0.0,0.07536586446889415,0.07821567471328161,0.3,5.0
8,10,ADBE,7.913104843401779,0.0,0.07068342765400282,0.0818522699569797,0.3,5.0
8,10,ADI,5.9591128431277145,0.0,0.0374831532720894,0.04929494688685343,0.3,5.0
8,10,ADM,7.322728786821831,0.0,0.0923021752408616,0.10768707854655157,0.3,5.0
8,10,ADP,7.8020587401754335,0.0,0.07050262295827792,0.06490602678264246,0.3,5.0
8,10,ADSK,8.33494873420173,0.0,0.07490395464449306,0.09095387529610832,0.3,5.0
8,10,AEP,6.7315112323416,0.0,0.07141834678076986,0.08414001492653778,0.3,5.0
8,10,AES,7.341841599679277,0.0,0.12964849753612506,0.14603804899727968,0.3,5.0
8,10,AFL,7.493662441625776,0.0,0.08159453302870467,0.08359690435880751,0.3,5.0
8,10,AIG,8.484196115200698,0.0,0.08091387539148975,0.06181439047295778,0.3,5.0
8,10,AMAT,7.749401405723365,0.0,0.08580294942525124,0.11092924877287857,0.3,5.0
8,10,AMD,12.398260860306717,0.0,0.17076659641271974,0.15169186496981046,0.3,5.0
8,10,AMGN,8.588326880915925,0.0,0.05585363352087869,0.07439179057619727,0.3,5.0
8,10,AMZN,11.442534817794952,0.0,0.13139993963635344,0.13507134287772016,0.3,5.0
8,10,AOS,6.780666389979454,0.0,0.08893474263033951,0.0900390345111638,0.3,5.0
8,10,APA,7.366394708363154,0.0,0.07255673746580393,0.07586244252532448,0.3,5.0
9,11,AAL,8.121810508836647,0.0,0.1325977237547541,0.15927738454004392,0.3,5.0
9,11,AAPL,12.302866605891552,0.0,0.11851265219667162,0.13266332060912345,0.3,5.0
9,11,ABBV,7.288314297050321,0.0,0.08960404054334714,0.08178747265864039,0.3,5.0
9,11,ABT,6.475188499777579,0.0,0.0825453669360463,0.07210004632037648,0.3,5.0
9,11,ADBE,7.572323182982267,0.0,0.08128261882706433,0.0737098078987094,0.3,5.0
9,11,ADI,6.370010056181434,0.0,0.06459066727693863,0.07926572450184532,0.3,5.0
9,11,ADM,6.405605290460693,0.0,0.09545187090605001,0.12821996608697717,0.3,5.0
9,11,ADP,6.991811285038002,0.0,0.09058446813183718,0.08769128086624567,0.3,5.0
9,11,ADSK,8.28973198202559,0.0,0.0909820123029319,0.10141195291642502,0.3,5.0
