stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AEP,2019-04-12,44.59148073099589,28.835500902476895,15.755979828518996,13218.127354223097,51.916388008579524,150.88303127573596,9.000540873324427e-06,2323
AEP,2019-04-15,6.883936804599983,6.881580312013482,0.0023564925865011688,12896.128321265749,47.559033747988124,124.74641700119486,1.0091426387652166e-05,2315
AEP,2019-04-16,-69.91412928845337,-43.94265622342652,-25.97147306502685,12527.337038194544,70.99005298453635,177.75212994844478,1.0342987638261945e-05,2328
AEP,2019-04-17,-15.640883898550607,0.29731975127634236,-15.93820364982695,12415.962793615143,31.940627848021585,125.67692977805656,7.206538536990934e-06,2332
AEP,2019-04-18,35.24130812611983,38.26131712889937,-3.0200090027795383,11888.299344086267,67.26395686422943,200.387820252541,1.0569832283951213e-05,2312
AEP,2019-04-22,4.770515172579355,3.331977480268515,1.43853769231084,11501.588661230046,74.5369228954856,184.8673394262084,1.0498837767128717e-05,2322
AEP,2019-04-23,-5.545701321624911,10.92360602906021,-16.46930735068512,11458.554951003709,38.765439033136495,137.2595769167333,8.849589918451949e-06,2329
AEP,2019-04-24,51.999335249544735,7.537834985460306,44.46150026408443,11299.992799592903,39.099494315888535,126.1856933831049,9.806518331571648e-06,2322
AEP,2019-04-25,46.007408737875366,49.9547010619999,-3.9472923241245326,10418.616528215887,44.48637978066371,137.1802936927559,1.3503301068720838e-05,2204
AEP,2019-04-26,-6.573526296552469,-16.29866882963088,9.725142533078412,10719.58829036081,28.685513121462915,94.66479178349103,6.25702447609623e-06,2322
AEP,2019-04-29,-10.556861104935546,-8.90039384111764,-1.6564672638179054,10062.679726988525,49.982763160036995,170.31833680335123,1.0314434246812647e-05,2312
AEP,2019-04-30,-13.492687768453516,-14.09597575365024,0.6032879851967241,9738.49103667436,39.570255843406805,117.88702715228172,1.159437882877488e-05,2295
AEP,2019-05-01,39.52961149976595,57.54154135099016,-18.01192985122421,9476.339325890072,44.57131797733382,134.2459843265949,1.021712490815515e-05,2316
AEP,2019-05-02,-17.359997046954106,-14.464829728096436,-2.89516731885767,9419.070701550227,22.53935813120135,87.96454533640949,8.84326418710019e-06,2330
AEP,2019-05-03,-25.002042074170536,-7.212801946240205,-17.78924012793033,9118.373333414189,44.725179827357785,105.30603614729876,1.0721138965214976e-05,2303
AEP,2019-05-06,-11.650226551805542,-7.823941595213677,-3.8262849565918646,9097.480700396525,25.094669379038926,102.96148806529423,8.771583794707019e-06,2303
AEP,2019-05-07,41.81972183475101,64.10605090292054,-22.286329068169536,9035.776028584052,49.69169497088046,146.415633590837,1.3572372423391146e-05,2333
AEP,2019-05-08,-7.517131195651676,-24.788630554608538,17.271499358956863,9092.713481549545,32.74834344699863,101.02276459080885,1.0886056214395725e-05,2324
AEP,2019-05-09,-4.229286578936051,-0.4950122831047936,-3.7342742958312574,9172.615236677177,27.451276296683613,79.14488736311954,1.058912773220969e-05,2337
AEP,2019-05-10,44.38412001392541,0.3164295929044201,44.06769042102099,9203.339452907541,23.660027304891354,96.81045626357479,1.0027026508132338e-05,2330
AEP,2019-05-13,22.83238205357387,41.16820932248684,-18.33582726891297,9641.827003625696,26.857240820897417,89.51674717038196,9.466796188427351e-06,2338
AEP,2019-05-14,22.010114635044907,27.148495895877634,-5.138381260832727,9672.299303160988,34.96121026479429,109.61437200728598,9.581009458404102e-06,2322
AEP,2019-05-15,18.781616828093536,1.516161404586832,17.265455423506705,9617.083515372095,34.6983215750555,117.03189680579689,8.795100151918147e-06,2282
AEP,2019-05-16,10.173353145844407,9.561707492213884,0.6116456536305233,9260.062380496165,64.13641491560334,171.32235876920413,1.1785764937718451e-05,2210
